Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
BCuramTdk JauhBesarNo,1,-0.36%,0,0%,0,0,0,0.00%,0.00%,1,0,0.00%,-0.36%,0,0,0.00%,0.00%
BCuramnondefKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramnondefBesarNo,1,0.21%,1,100%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,0.21%
BCuramMendekatiKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BCuramMendekatiBesarYes,1,2.12%,1,100%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,2.12%
BCuramMendekatiBesarNo,1,-0.89%,0,0%,1,1,0,0.00%,-0.89%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BJauhCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
